2.78488 2.94061 3.10811 2.45315 3.26832 2.12647 3.27579 1.98627 3.22918 2.89845 3.25222 2.15666 3.2459 2.42591 3.17728 2.51855 3.07181 1.8611 3.11476 3.13724 
2.70229 3.43957 2.18274 3.49645 2.36566 3.2274 2.05716 3.19981 3.4803 3.6958 2.8719 3.52634 3.49357 3.53312 2.37953 3.36818 3.69805 3.06402 2.0776 3.7414 
2.78082 3.85167 2.16202 3.77054 2.1877 3.6702 2.02708 3.71869 3.26178 3.95 3.04823 3.8745 3.52086 3.90014 2.55511 3.95691 3.94533 3.58117 2.06304 4.03077 
2.97298 3.75876 3.19335 3.64755 3.22136 3.58909 3.06807 3.52352 2.87121 3.86904 3.81577 3.7999 3.20538 3.80179 3.84934 3.90642 4.01688 3.51628 3.49682 3.86197 
2.72064 3.87768 3.20963 3.92657 3.51058 3.80777 3.32721 3.76936 3.26888 3.93696 3.77439 3.94219 3.4633 3.83733 3.777 3.96084 4.10226 3.8515 3.48451 3.92343 
2.63263 3.48676 2.90237 3.47194 3.19544 3.52893 3.41978 3.50297 3.13437 3.56925 3.45348 3.55844 3.26411 3.50496 3.54842 3.5543 3.84667 3.53208 3.31633 3.5343 
2.36999 3.39579 3.04404 3.80604 3.15934 3.61957 3.50623 3.60637 2.59577 3.61189 3.85268 3.67569 3.51516 3.5614 3.73629 3.40101 4.1551 3.6801 3.44115 3.50501 
2.23182 2.67105 2.77912 3.00493 2.80714 3.1145 2.81782 3.01244 2.90447 2.70319 3.09235 2.9077 2.8117 3.00527 2.92533 2.92549 2.83793 2.98271 2.79278 2.80274 
2.03088 2.53532 2.38169 2.86403 2.35563 3.06991 2.30354 2.81578 2.40258 2.80113 2.413 2.83292 2.58678 2.7657 2.2287 2.54159 2.38142 2.80338 2.35599 2.24987 
1.73789 1.83875 1.97827 2.41086 1.90013 2.53836 2.00477 2.35695 1.92141 2.12784 2.04061 2.51059 2.02806 2.34095 2.00096 2.05686 1.70932 2.6031 2.05696 2.11387 
1.34885 1.77109 1.9165 1.92225 1.61639 1.91797 1.92392 2.05214 1.88854 2.00056 1.85608 2.0059 1.7977 1.94547 1.77917 1.7919 1.61809 1.95788 1.98397 1.72892 
1.17915 1.414 1.69245 1.68835 1.46566 1.48548 1.55752 1.66506 1.57546 1.58309 1.53925 1.64786 1.38876 1.67561 1.67281 1.45258 1.46078 1.68655 1.59483 1.42827 
0.930717 1.33809 1.45706 1.47619 1.30319 1.34293 1.35104 1.40934 1.54146 1.38267 1.52178 1.41089 1.5236 1.50518 1.5282 1.543 1.6024 1.49862 1.59194 1.51821 
0.725768 1.45029 1.54083 1.49715 1.45675 1.48547 1.47462 1.57818 1.70966 1.53149 1.64158 1.53945 1.52402 1.57756 1.68088 1.56121 1.53464 1.65093 1.76325 1.61749 
0.766069 1.44797 1.49188 1.41437 1.62413 1.52084 1.55804 1.58078 1.5514 1.56877 1.62418 1.57825 1.60287 1.59716 1.67921 1.6006 1.64287 1.71007 1.72728 1.63741 
0.840236 1.65365 1.67666 1.64065 1.70586 1.72319 1.73998 1.70378 1.70561 1.76104 1.77636 1.79172 1.75028 1.77739 1.76269 1.74671 1.75743 1.90109 1.84644 1.84071 
0.948617 1.86105 1.91083 1.91458 1.96453 1.94822 2.02374 2.03416 1.97059 2.01478 2.0457 2.05917 2.02619 2.05452 2.05351 2.01408 2.12955 2.11159 2.13841 2.10322 
1.20144 2.12642 2.12133 2.20762 2.18417 2.16682 2.22801 2.2416 2.17994 2.23304 2.27049 2.26134 2.27678 2.35576 2.34156 2.28661 2.34 2.32715 2.42664 2.39978 
1.6267 2.27994 2.28076 2.368 2.32704 2.33723 2.37376 2.34536 2.32905 2.37446 2.3915 2.39292 2.42353 2.47736 2.43564 2.39325 2.48549 2.48169 2.45118 2.4766 
